controlledEnvironment=22C/air100/light100 every5 game seconds through existing field persistence; original restored during cleanup; character exposure/needs simulation remains active
[PASS] actual preparation estimate=adult1/45WU/day/0.4day; actual enqueue; cap1/17WU unchanged
postCycleMetaMultiplier=1; pipeline=raw work rate -> completed cycle -> current participant contribution -> supplied durable research equipment -> meta research multiplier -> remaining project clamp
phase game=197.1885; kind=no-work-increment/no-movement; run=1; generic=0/0; action=; cell=(15, 0)
phase game=198.3064; kind=movement-observed; run=1; generic=0/0; action=; cell=(14, 0)
phase game=199.3957; kind=no-work-increment/no-movement; run=1; generic=0/0; action=; cell=(13, 0)
phase game=211.2378; kind=movement-observed; run=1; generic=0/0; action=; cell=(14, 0)
phase game=211.9044; kind=no-work-increment/no-movement; run=1; generic=0/0; action=; cell=(14, 0)
phase game=212.3786; kind=movement-observed; run=1; generic=0/0; action=; cell=(15, 0)
phase game=213.0453; kind=no-work-increment/no-movement; run=1; generic=0/0; action=; cell=(15, 0)
worker=character:staff:1:01; action=; research=False; participants=0; progress=6; generic=0/0; thirst=56.66671; cell=(15, 0); gameTime=310.7192; wall=217.5421; cancellation=; preWuExit=None/; brain=행동: 대기
단계: 없음
목표: 없음
경로: 경로 없음
기분: 51.6
이유: 정상
운반 계획: 운반 계획 없음
적재: 0/28.7kg
정리 사유: 진행 중
result=FAIL
System.InvalidOperationException: Timing witness lacks actual sole-worker completion or stable work observations.
  at WimR01ResearchSelfCareLiveRunner+<ObserveTiming>d__29.MoveNext () [0x00b9d] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Economy\Editor\WimR01ResearchSelfCareLiveRunner.cs:393 
  at WimR01ResearchSelfCareLiveRunner+<Observe>d__27.MoveNext () [0x00051] in F:\01_Programming\01_Project\02_Unity\DungeonStory\Assets\Scripts\Services\Economy\Editor\WimR01ResearchSelfCareLiveRunner.cs:75 
scope=actual single-staff research completion and frame-observed work/travel/other time partition. Safe environmental field, initial needs and priorities are controlled; no thirst perturbation/repeated need reset or research/cap mutation. Work boundaries are reported separately, not attributed to a guessed cause. Not daily productivity, live ETA, alternate equipment bonus certification or collaborative research.
cleanup=paused disposable Play; operator stops; user persistence disabled before owner selection
